"Dataset","GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display","Numeric","Low","High","Comments"
"CYCU","WHS7_105","PUBLISHED","2003","EMR","LBY","539.8","539.82",,,
"CYCU","WHS7_156","PUBLISHED","2001","EMR","SOM","3.9","3.85",,,
"CYCU","WHS7_104","PUBLISHED","2011","AFR","UGA","10.2","10.23",,,
"CYCU","WHS7_104","PUBLISHED","2000","EUR","TJK","1.3","1.32",,,
"CYCU","WHS7_156","PUBLISHED","2012","AFR","MRT","51.7","51.7",,,
"CYCU","WHS7_104","PUBLISHED","1996","AMR","HTI","9.1","9.14",,,
"CYCU","WHS7_104","PUBLISHED","1999","SEAR","MDV","82.4","82.4",,,
"CYCU","WHS7_104","PUBLISHED","2004","EMR","PAK","4.5","4.53",,,
"CYCU","WHS7_104","PUBLISHED","1995","EUR","LTU","73.9","73.92",,,
"CYCU","WHS7_104","PUBLISHED","1997","EUR","POL","164.1","164.05",,,
"CYCU","WHS7_156","PUBLISHED","2003","AFR","BDI","5.9","5.87",,,
"CYCU","WHS7_105","PUBLISHED","2010","AFR","CAF","30.8","30.76",,,
"CYCU","WHS7_105","PUBLISHED","2005","AFR","NGA","115.7","115.72",,,
"CYCU","WHS7_108","PUBLISHED","1995","WPR","KHM","6.9","6.88",,,
"CYCU","WHS7_105","PUBLISHED","1996","WPR","FSM","207.9","207.86",,,
"CYCU","WHS7_156","PUBLISHED","2005","AMR","BHS","1394.3","1394.27",,,
"CYCU","WHS7_156","PUBLISHED","2009","EUR","ARM","132.4","132.43",,,
"CYCU","WHS7_156","PUBLISHED","2002","EUR","LVA","248.1","248.1",,,
"CYCU","WHS7_156","PUBLISHED","2005","EUR","SVK","626.6","626.61",,,
"CYCU","WHS7_104","PUBLISHED","1999","EUR","MKD","96.5","96.48",,,
"CYCU","WHS7_104","PUBLISHED","2006","AMR","GTM","56.6","56.63",,,
"CYCU","WHS7_108","PUBLISHED","2011","EUR","BIH","632.0","631.98",,,
"CYCU","WHS7_104","PUBLISHED","2010","EUR","POL","615.6","615.61",,,
"CYCU","WHS7_105","PUBLISHED","2006","EUR","MDA","271.9","271.85",,,
"CYCU","WHS7_104","PUBLISHED","2001","EUR","SRB","57.2","57.22",,,
"CYCU","WHS7_105","PUBLISHED","1995","EUR","ESP","1189.4","1189.44",,,
"CYCU","WHS7_108","PUBLISHED","2010","WPR","KIR","212.7","212.67",,,
"CYCU","WHS7_108","PUBLISHED","2009","AMR","CAN","3061.2","3061.2",,,
"CYCU","WHS7_156","PUBLISHED","2009","AFR","TZA","27.5","27.52",,,
"CYCU","WHS7_105","PUBLISHED","2009","SEAR","IND","123.3","123.25",,,
"CYCU","WHS7_156","PUBLISHED","2009","EMR","LBN","604.3","604.25",,,
"CYCU","WHS7_105","PUBLISHED","2010","WPR","FJI","193.0","192.95",,,
"CYCU","WHS7_104","PUBLISHED","2009","AFR","CMR","14.9","14.92",,,
"CYCU","WHS7_156","PUBLISHED","2005","AFR","SYC","423.5","423.46",,,
"CYCU","WHS7_108","PUBLISHED","1997","WPR","NIU","303.6","303.6",,,
"CYCU","WHS7_104","PUBLISHED","2002","WPR","AUS","1235.7","1235.74",,,
"CYCU","WHS7_105","PUBLISHED","1996","EMR","ARE","907.6","907.55",,,
"CYCU","WHS7_105","PUBLISHED","2007","EMR","JOR","429.9","429.93",,,
"CYCU","WHS7_104","PUBLISHED","2000","EUR","GBR","1393.7","1393.67",,,
"CYCU","WHS7_105","PUBLISHED","1998","EUR","AND","2316.6","2316.56",,,
"CYCU","WHS7_108","PUBLISHED","2001","EUR","TKM","70.7","70.71",,,
"CYCU","WHS7_105","PUBLISHED","1997","EUR","CZE","919.8","919.82",,,
"CYCU","WHS7_108","PUBLISHED","2011","EUR","SRB","742.9","742.87",,,
"CYCU","WHS7_105","PUBLISHED","2000","WPR","SLB","90.7","90.7",,,
"CYCU","WHS7_156","PUBLISHED","1996","AFR","SEN","23.1","23.14",,,
"CYCU","WHS7_104","PUBLISHED","2004","AMR","LCA","159.7","159.66",,,
"CYCU","WHS7_108","PUBLISHED","2003","AMR","NIC","92.3","92.25",,,
"CYCU","WHS7_156","PUBLISHED","2009","EUR","TUR","579.7","579.71",,,
"CYCU","WHS7_105","PUBLISHED","2002","EMR","YEM","95.9","95.91",,,
"CYCU","WHS7_108","PUBLISHED","1997","AFR","NAM","182.4","182.39",,,
"CYCU","WHS7_104","PUBLISHED","2004","AFR","ZAF","150.0","150.04",,,
"CYCU","WHS7_156","PUBLISHED","2008","SEAR","IDN","61.1","61.12",,,
"CYCU","WHS7_156","PUBLISHED","1998","EUR","RUS","121.4","121.43",,,
"CYCU","WHS7_156","PUBLISHED","1995","EUR","CHE","4308.5","4308.48",,,
"CYCU","WHS7_104","PUBLISHED","1999","AFR","NAM","93.2","93.19",,,
"CYCU","WHS7_108","PUBLISHED","1995","AMR","PER","105.4","105.41",,,
"CYCU","WHS7_104","PUBLISHED","1997","EMR","TUN","61.1","61.13",,,
"CYCU","WHS7_156","PUBLISHED","1996","WPR","WSM","62.1","62.07",,,
"CYCU","WHS7_104","PUBLISHED","1995","WPR","VNM","4.8","4.79",,,
"CYCU","WHS7_156","PUBLISHED","1996","AMR","URY","821.6","821.62",,,
"CYCU","WHS7_156","PUBLISHED","1997","EUR","BIH","86.8","86.75",,,
"CYCU","WHS7_104","PUBLISHED","2002","EUR","TUR","127.2","127.24",,,
"CYCU","WHS7_108","PUBLISHED","1995","EUR","MCO","2014.9","2014.9",,,
"CYCU","WHS7_156","PUBLISHED","2008","AFR","BWA","307.1","307.07",,,
"CYCU","WHS7_108","PUBLISHED","2006","AMR","PAN","476.5","476.51",,,
"CYCU","WHS7_104","PUBLISHED","1995","EUR","GEO","1.5","1.51",,,
"CYCU","WHS7_156","PUBLISHED","2002","WPR","TON","92.3","92.29",,,
"CYCU","WHS7_156","PUBLISHED","2004","WPR","BRN","657.8","657.82",,,
"CYCU","WHS7_156","PUBLISHED","2009","WPR","LAO","33.6","33.6",,,
"CYCU","WHS7_105","PUBLISHED","2010","EMR","EGY","294.6","294.57",,,
"CYCU","WHS7_108","PUBLISHED","2004","AFR","ZAF","257.2","257.23",,,
"CYCU","WHS7_156","PUBLISHED","2001","AFR","MUS","147.0","147.04",,,
"CYCU","WHS7_104","PUBLISHED","2009","EMR","BHR","529.1","529.1",,,
"CYCU","WHS7_156","PUBLISHED","1998","WPR","MYS","93.3","93.29",,,
"CYCU","WHS7_156","PUBLISHED","2008","AMR","KNA","603.5","603.49",,,
"CYCU","WHS7_105","PUBLISHED","2004","EUR","CYP","1487.4","1487.43",,,
"CYCU","WHS7_108","PUBLISHED","2006","AFR","NGA","36.2","36.24",,,
"CYCU","WHS7_156","PUBLISHED","2009","AFR","ZAF","484.2","484.23",,,
"CYCU","WHS7_156","PUBLISHED","2003","EUR","BLR","120.1","120.05",,,
"CYCU","WHS7_105","PUBLISHED","2012","EUR","FIN","3544.7","3544.65",,,
"CYCU","WHS7_156","PUBLISHED","2002","EUR","ITA","1760.9","1760.9",,,
"CYCU","WHS7_105","PUBLISHED","2005","AFR","TCD","63.5","63.51",,,
"CYCU","WHS7_108","PUBLISHED","1995","AFR","SYC","546.1","546.07",,,
"CYCU","WHS7_156","PUBLISHED","2006","AMR","SLV","203.2","203.15",,,
"CYCU","WHS7_104","PUBLISHED","2005","SEAR","BTN","40.7","40.67",,,
"CYCU","WHS7_108","PUBLISHED","2009","WPR","AUS","2470.1","2470.14",,,
"CYCU","WHS7_105","PUBLISHED","1999","WPR","PNG","73.0","72.99",,,
"CYCU","WHS7_156","PUBLISHED","2000","EMR","QAT","651.5","651.54",,,
"CYCU","WHS7_104","PUBLISHED","2010","AFR","GHA","41.2","41.23",,,
"CYCU","WHS7_105","PUBLISHED","2009","EUR","PRT","2693.0","2693.04",,,
"CYCU","WHS7_105","PUBLISHED","2004","WPR","BRN","1415.3","1415.28",,,
"CYCU","WHS7_156","PUBLISHED","1997","WPR","PHL","41.0","40.95",,,
"CYCU","WHS7_108","PUBLISHED","1995","AFR","GIN","5.5","5.48",,,
"CYCU","WHS7_156","PUBLISHED","1999","AFR","GMB","29.8","29.77",,,
"CYCU","WHS7_105","PUBLISHED","2008","EMR","SYR","179.3","179.32",,,
"CYCU","WHS7_108","PUBLISHED","1998","EMR","ARE","784.9","784.89",,,
"CYCU","WHS7_108","PUBLISHED","2006","WPR","PNG","50.9","50.89",,,
"CYCU","WHS7_104","PUBLISHED","2004","WPR","WSM","86.9","86.9",,,
"CYCU","WHS7_104","PUBLISHED","2012","SEAR","LKA","35.3","35.3",,,
"CYCU","WHS7_104","PUBLISHED","2000","EUR","KGZ","5.7","5.73",,,
"CYCU","WHS7_105","PUBLISHED","2005","AFR","BEN","60.6","60.56",,,
"CYCU","WHS7_104","PUBLISHED","1998","AFR","MOZ","7.4","7.4",,,
"CYCU","WHS7_156","PUBLISHED","2007","AMR","COL","291.5","291.48",,,
"CYCU","WHS7_104","PUBLISHED","1997","AMR","KNA","185.7","185.65",,,
"CYCU","WHS7_108","PUBLISHED","2005","AMR","GTM","90.8","90.84",,,
"CYCU","WHS7_105","PUBLISHED","1999","EUR","FIN","1743.0","1743.04",,,
"CYCU","WHS7_105","PUBLISHED","1997","WPR","COK","212.3","212.28",,,
"CYCU","WHS7_108","PUBLISHED","2003","AFR","BEN","28.2","28.2",,,
"CYCU","WHS7_156","PUBLISHED","2004","AFR","GHA","26.2","26.16",,,
"CYCU","WHS7_104","PUBLISHED","1999","AFR","MUS","68.7","68.69",,,
"CYCU","WHS7_105","PUBLISHED","2002","EUR","BEL","2548.1","2548.14",,,
"CYCU","WHS7_105","PUBLISHED","1995","EUR","DNK","1869.8","1869.82",,,
"CYCU","WHS7_105","PUBLISHED","2012","AFR","GHA","105.9","105.93",,,
"CYCU","WHS7_104","PUBLISHED","2006","AFR","UGA","6.9","6.93",,,
"CYCU","WHS7_104","PUBLISHED","1996","EMR","DJI","14.6","14.63",,,
"CYCU","WHS7_108","PUBLISHED","2007","WPR","MYS","265.3","265.33636",,,
"CYCU","WHS7_104","PUBLISHED","2010","AMR","GTM","68.9","68.88",,,
"CYCU","WHS7_108","PUBLISHED","2005","EUR","BEL","2463.6","2463.65",,,
"CYCU","WHS7_108","PUBLISHED","2002","EUR","RUS","283.1","283.07",,,
"CYCU","WHS7_104","PUBLISHED","1995","EUR","ARM","8.0","7.97",,,
"CYCU","WHS7_104","PUBLISHED","1996","AFR","GHA","11.7","11.74",,,
"CYCU","WHS7_104","PUBLISHED","1997","WPR","BRN","506.0","505.95",,,
"CYCU","WHS7_156","PUBLISHED","2008","EUR","BGR","474.1","474.1",,,
"CYCU","WHS7_108","PUBLISHED","2004","EUR","NLD","2171.3","2171.34",,,
"CYCU","WHS7_105","PUBLISHED","2008","EMR","PAK","84.1","84.06",,,
"CYCU","WHS7_156","PUBLISHED","2011","EMR","QAT","1738.0","1738.01",,,
"CYCU","WHS7_108","PUBLISHED","2009","EUR","TJK","29.9","29.95",,,
"CYCU","WHS7_108","PUBLISHED","2005","AFR","MRT","47.7","47.73",,,
"CYCU","WHS7_105","PUBLISHED","1996","AFR","BEN","43.4","43.36",,,
"CYCU","WHS7_156","PUBLISHED","2010","AFR","NAM","415.8","415.81",,,
"CYCU","WHS7_105","PUBLISHED","1997","SEAR","THA","198.6","198.63",,,
"CYCU","WHS7_105","PUBLISHED","2005","AFR","BFA","73.7","73.7",,,
"CYCU","WHS7_104","PUBLISHED","2002","AFR","KEN","7.7","7.74",,,
"CYCU","WHS7_156","PUBLISHED","2012","AFR","MUS","444.4","444.36",,,
